Dataset,Model,Accuracy,Size (MB),Latency (ms)
cifar100,ResNet-18,69.6,42.90662670135498,159.20782566070557
cifar100,EfficientNet-B0,77.71,16.061882972717285,162.70692825317383
cifar100,MobileNetV3-Small,68.56,6.309514045715332,160.55110454559326
cifar100,Quantized ResNet-18,69.63,10.835541725158691,254.38053131103516
food101,ResNet-18,66.81980198019802,42.90857982635498,182.76796340942383
food101,EfficientNet-B0,80.29306930693069,16.066765785217285,183.16977500915527
food101,MobileNetV3-Small,70.41188118811881,6.313420295715332,181.328706741333
food101,Quantized ResNet-18,66.75247524752476,10.836030006408691,266.2824058532715
fashion_mnist,ResNet-18,92.65,42.73047924041748,59.221458435058594
fashion_mnist,EfficientNet-B0,93.68,15.622063636779785,59.4738245010376
fashion_mnist,MobileNetV3-Small,93.3,5.957585334777832,59.84480857849121
fashion_mnist,Quantized ResNet-18,92.68,10.789887428283691,161.1217164993286
